Date,Close/Last,Volume,Open,High,Low
02/16/2024,$473.32,23324620,$478.11,$478.96,$469.21
02/15/2024,$484.03,24212330,$475.28,$488.62,$472.22
02/14/2024,$473.28,16858400,$467.93,$474.11,$466.0901
02/13/2024,$460.12,20916600,$456.87,$467.89,$455.09
02/12/2024,$468.90,19381960,$468.19,$479.145,$466.58
02/09/2024,$468.11,18413140,$472.95,$473.59,$467.465
02/08/2024,$470.00,18815100,$468.32,$470.59,$465.03
02/07/2024,$469.59,23065990,$458.00,$471.52,$456.1773
02/06/2024,$454.72,21655210,$464.00,$467.12,$453.00
02/05/2024,$459.41,40832380,$469.88,$471.90,$459.22
02/02/2024,$474.99,84707650,$459.60,$485.96,$453.01
02/01/2024,$394.78,29727050,$393.94,$400.50,$393.05
01/31/2024,$390.14,20180820,$389.00,$398.00,$387.10
01/30/2024,$400.06,18614730,$403.59,$406.36,$399.57
01/29/2024,$401.02,18742430,$394.985,$402.93,$393.10
01/26/2024,$394.14,13159290,$394.35,$396.79,$391.5908
01/25/2024,$393.18,15091080,$390.17,$395.49,$385.66
01/24/2024,$390.70,15604290,$390.00,$396.15,$387.81
01/23/2024,$385.20,15506100,$384.615,$388.38,$382.075
01/22/2024,$381.78,17680450,$387.95,$390.3525,$381.1601
01/19/2024,$383.45,21670810,$379.00,$384.36,$377.97
01/18/2024,$376.13,16354330,$371.49,$376.85,$370.95
01/17/2024,$368.37,12724780,$366.30,$368.54,$358.61
01/16/2024,$367.46,15306890,$373.65,$375.61,$367.23
01/12/2024,$374.49,19310050,$370.155,$377.06,$369.54
01/11/2024,$369.67,17205390,$372.13,$372.78,$362.93
01/10/2024,$370.47,22117210,$360.17,$372.94,$359.08
01/09/2024,$357.43,13463870,$356.40,$360.64,$355.36
01/08/2024,$358.66,13890220,$354.70,$358.98,$352.05
01/05/2024,$351.95,13750910,$346.99,$353.50,$346.2601
01/04/2024,$347.12,12099900,$344.50,$348.1499,$343.3987
01/03/2024,$344.47,15451130,$344.98,$347.95,$343.175
01/02/2024,$346.29,19042150,$351.32,$353.16,$340.01
12/29/2023,$353.96,14987090,$358.99,$360.00,$351.82
12/28/2023,$358.32,11798810,$359.70,$361.90,$357.81
12/27/2023,$357.83,13207930,$356.07,$359.00,$355.31
12/26/2023,$354.83,9898614,$354.99,$356.98,$353.45
12/22/2023,$353.39,11772780,$355.58,$357.1999,$351.22
12/21/2023,$354.09,15289560,$352.98,$356.405,$349.21
12/20/2023,$349.28,16369850,$348.65,$354.96,$347.79
12/19/2023,$350.36,17729360,$345.58,$353.60,$345.12
12/18/2023,$344.62,18993850,$337.48,$347.56,$337.02
12/15/2023,$334.92,31776850,$331.99,$338.66,$331.22
12/14/2023,$333.17,19607340,$333.85,$334.70,$328.6371
12/13/2023,$334.74,16353320,$333.93,$338.37,$332.64
12/12/2023,$334.22,18485460,$324.60,$334.47,$324.56
12/11/2023,$325.28,25802460,$329.40,$329.89,$319.995
12/08/2023,$332.75,14087350,$323.09,$333.17,$323.00
12/07/2023,$326.59,15905080,$317.77,$328.24,$317.77
12/06/2023,$317.45,11294340,$321.93,$322.25,$317.04
12/05/2023,$318.29,16952130,$318.98,$321.88,$315.39
12/04/2023,$320.02,19037080,$317.29,$320.86,$313.66
12/01/2023,$324.82,15276380,$325.48,$326.86,$320.76
11/30/2023,$327.15,23146390,$331.89,$333.50,$322.4037
11/29/2023,$332.20,16024500,$339.69,$339.90,$330.78
11/28/2023,$338.99,12637250,$333.40,$339.375,$333.40
11/27/2023,$334.70,15684450,$336.18,$339.90,$334.20
11/24/2023,$338.23,5467488,$340.13,$341.8556,$336.77
11/22/2023,$341.49,10715180,$339.21,$342.92,$338.58
11/21/2023,$336.98,12027860,$338.33,$339.9015,$335.90
11/20/2023,$339.97,16976130,$334.89,$341.87,$334.19
11/17/2023,$335.04,14519210,$330.26,$335.50,$329.35
11/16/2023,$334.19,18932570,$329.37,$334.58,$326.38
11/15/2023,$332.71,14531180,$337.93,$338.40,$330.02
11/14/2023,$336.31,17179400,$334.54,$338.10,$333.33
11/13/2023,$329.19,16908950,$326.20,$332.33,$325.70
11/10/2023,$328.77,19116920,$319.94,$329.10,$319.46
11/09/2023,$320.55,16103070,$319.418,$324.1799,$318.80
11/08/2023,$319.78,13609700,$318.14,$321.33,$314.88
11/07/2023,$318.82,14055610,$317.06,$321.00,$315.12
11/06/2023,$315.80,12887700,$315.98,$318.33,$314.45
11/03/2023,$314.60,16764320,$312.55,$315.55,$311.0167
11/02/2023,$310.87,21631820,$317.30,$318.82,$308.33
11/01/2023,$311.85,20434580,$301.85,$312.74,$301.85
10/31/2023,$301.27,19434170,$303.31,$303.68,$296.86
10/30/2023,$302.66,28435050,$299.09,$309.3967,$299.05
10/27/2023,$296.73,29596260,$294.48,$299.31,$292.97
10/26/2023,$288.35,66684140,$295.00,$295.00,$279.403
